year,month,day,date,day_of_year,PRCP,SNOW,SNWD,TMAX,TMIN
1951,11,28,1951-11-28,332,0,0,0.09842525,37.94,28.04
1951,11,29,1951-11-29,333,0,0,0,46.94,26.060000000000002
1951,11,30,1951-11-30,334,0,0,0,39.019999999999996,26.060000000000002
1951,12,01,1951-12-01,335,0,0,0,46.94,32
1951,12,02,1951-12-02,336,0,0,0,55.040000000000006,33.98
1951,12,03,1951-12-03,337,0,0,0,60.08,39.92
1951,12,04,1951-12-04,338,0,0,0,48.019999999999996,30.92
1951,12,05,1951-12-05,339,0,0,0,46.04,30.02
1951,12,06,1951-12-06,340,0.14960638,0,0,51.08,37.94
1951,12,07,1951-12-07,341,0,0,0,48.019999999999996,35.96
1951,12,08,1951-12-08,342,0,0,0,35.96,28.94
1951,12,09,1951-12-09,343,0.09842525,0.09842525,0.09842525,30.92,23
1951,12,10,1951-12-10,344,0,0,0,33.98,19.939999999999998
1951,12,11,1951-12-11,345,0,0,0,32,14
1951,12,12,1951-12-12,346,0,0,0,19.04,6.079999999999998
1951,12,13,1951-12-13,347,0,0,0,17.06,1.0399999999999991
1951,12,14,1951-12-14,348,0.16141741,0.20866153,0.20078751000000003,12.920000000000002,8.059999999999999
1951,12,15,1951-12-15,349,0,0,0.20078751000000003,5,-5.980000000000004
1951,12,16,1951-12-16,350,0,0,0.20078751000000003,5,-9.04
1951,12,17,1951-12-17,351,0.29921276,0.31102379,0.40157502000000006,15.079999999999998,-7.960000000000001
1951,12,18,1951-12-18,352,0,0,0.50000027,15.079999999999998,-7.060000000000002
1951,12,19,1951-12-19,353,0.18897648,0.18897648,0.50000027,19.939999999999998,-9.04
1951,12,20,1951-12-20,354,0.18897648,0.18110246000000002,0.7992130300000001,24.98,19.04
1951,12,21,1951-12-21,355,0.12992133,0.18897648,1.09842579,24.98,1.9400000000000013
1951,12,22,1951-12-22,356,0,0,1.09842579,8.059999999999999,-2.9200000000000017
1951,12,23,1951-12-23,357,0.09842525,0.18110246000000002,1.2992133000000001,10.940000000000001,-9.04
1951,12,24,1951-12-24,358,0.20078751000000003,0.20078751000000003,1.2992133000000001,6.079999999999998,-20.92
1951,12,25,1951-12-25,359,0.25984266,0.27165369,1.20078805,21.92,1.9400000000000013
1951,12,26,1951-12-26,360,0,0,1.20078805,17.96,-7.060000000000002
1951,12,27,1951-12-27,361,0,0,1.20078805,15.98,-7.960000000000001
1951,12,28,1951-12-28,362,0,0,1.09842579,30.02,6.98
1951,12,29,1951-12-29,363,0,0,0.90157529,37.94,15.98
1951,12,30,1951-12-30,364,0,0,0.59842552,35.06,19.939999999999998
1951,12,31,1951-12-31,365,0,0,0.29921276,44.06,26.060000000000002
1952,01,01,1952-01-01,1,0,0,0.29921276,23,3.9200000000000017
1952,01,02,1952-01-02,2,0,0,0.29921276,14,-2.019999999999996
1952,01,03,1952-01-03,3,0,0,0.29921276,30.02,3.9200000000000017
1952,01,04,1952-01-04,4,0.09055123000000001,0.25984266,0.59842552,24.08,6.98
1952,01,05,1952-01-05,5,0,0,0.59842552,26.96,17.06
1952,01,06,1952-01-06,6,0,0,0.59842552,26.96,19.04
1952,01,07,1952-01-07,7,0,0,0.59842552,28.04,12.02
1952,01,08,1952-01-08,8,0.27165369,0.27165369,0.59842552,32,24.98
1952,01,09,1952-01-09,9,0,0,0.59842552,30.92,21.02
1952,01,10,1952-01-10,10,0,0,0.50000027,28.04,15.98
1952,01,11,1952-01-11,11,0,0,0.50000027,33.98,15.079999999999998
1952,01,12,1952-01-12,12,0,0,0.40157502000000006,35.06,8.959999999999997
